"name: BTCUSDT, total: -0.0, profit: 1.0, lost: -1.1, win_ratio: 58.0, total_trade: 98, Currency_BBM: 1.5, BBlength: 60, win: 57, lose: 41, max_lost: -0.07, max_win: 0.09, Ave_profit: 0.018, Ave_loss: -0.027, Ave_trade: -0.0, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.5, lost: -0.6, win_ratio: 59.0, total_trade: 70, Currency_BBM: 1.5, BBlength: 80, win: 41, lose: 29, max_lost: -0.06, max_win: 0.17, Ave_profit: 0.037, Ave_loss: -0.022, Ave_trade: 0.012, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.6, lost: -0.4, win_ratio: 63.0, total_trade: 54, Currency_BBM: 1.5, BBlength: 100, win: 34, lose: 20, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.047, Ave_loss: -0.022, Ave_trade: 0.021, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.5, lost: -0.3, win_ratio: 64.0, total_trade: 39, Currency_BBM: 1.5, BBlength: 120, win: 25, lose: 14, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.06, Ave_loss: -0.02, Ave_trade: 0.031, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.4, lost: -0.3, win_ratio: 70.0, total_trade: 33, Currency_BBM: 1.5, BBlength: 140, win: 23, lose: 10, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.059, Ave_loss: -0.027, Ave_trade: 0.033, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.0, profit: 1.3, lost: -0.3, win_ratio: 68.0, total_trade: 31, Currency_BBM: 1.5, BBlength: 160, win: 21, lose: 10, max_lost: -0.05, max_win: 0.21, Ave_profit: 0.061, Ave_loss: -0.028, Ave_trade: 0.032, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.5, lost: -0.2, win_ratio: 74.0, total_trade: 27, Currency_BBM: 1.5, BBlength: 180, win: 20, lose: 7, max_lost: -0.05, max_win: 0.32, Ave_profit: 0.073, Ave_loss: -0.03, Ave_trade: 0.047, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.3, lost: -0.2, win_ratio: 77.0, total_trade: 22, Currency_BBM: 1.5, BBlength: 200, win: 17, lose: 5, max_lost: -0.05, max_win: 0.23, Ave_profit: 0.074, Ave_loss: -0.034, Ave_trade: 0.049, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.3, lost: -0.2, win_ratio: 74.0, total_trade: 19, Currency_BBM: 1.5, BBlength: 220, win: 14, lose: 5, max_lost: -0.04, max_win: 0.34, Ave_profit: 0.094, Ave_loss: -0.031, Ave_trade: 0.061, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.2, lost: -0.1, win_ratio: 75.0, total_trade: 16, Currency_BBM: 1.5, BBlength: 240, win: 12, lose: 4, max_lost: -0.04, max_win: 0.34, Ave_profit: 0.103, Ave_loss: -0.028, Ave_trade: 0.07, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.3, lost: -0.1, win_ratio: 71.0, total_trade: 14, Currency_BBM: 1.5, BBlength: 260, win: 10, lose: 4, max_lost: -0.03, max_win: 0.47, Ave_profit: 0.125, Ave_loss: -0.019, Ave_trade: 0.084, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.3, lost: -0.0, win_ratio: 83.0, total_trade: 12, Currency_BBM: 1.5, BBlength: 280, win: 10, lose: 2, max_lost: -0.01, max_win: 0.47, Ave_profit: 0.127, Ave_loss: -0.01, Ave_trade: 0.104, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.3, profit: 1.3, lost: -1.0, win_ratio: 60.0, total_trade: 82, Currency_BBM: 1.6, BBlength: 60, win: 49, lose: 33, max_lost: -0.11, max_win: 0.17, Ave_profit: 0.026, Ave_loss: -0.031, Ave_trade: 0.003, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.5, lost: -0.6, win_ratio: 57.0, total_trade: 61, Currency_BBM: 1.6, BBlength: 80, win: 35, lose: 26, max_lost: -0.06, max_win: 0.17, Ave_profit: 0.043, Ave_loss: -0.022, Ave_trade: 0.015, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.5, lost: -0.4, win_ratio: 65.0, total_trade: 43, Currency_BBM: 1.6, BBlength: 100, win: 28, lose: 15, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.054, Ave_loss: -0.026, Ave_trade: 0.026, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.1, lost: -0.3, win_ratio: 70.0, total_trade: 33, Currency_BBM: 1.6, BBlength: 120, win: 23, lose: 10, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.049, Ave_loss: -0.026, Ave_trade: 0.026, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.5, lost: -0.2, win_ratio: 74.0, total_trade: 31, Currency_BBM: 1.6, BBlength: 140, win: 23, lose: 8, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.065, Ave_loss: -0.027, Ave_trade: 0.041, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.1, lost: -0.2, win_ratio: 68.0, total_trade: 28, Currency_BBM: 1.6, BBlength: 160, win: 19, lose: 9, max_lost: -0.05, max_win: 0.16, Ave_profit: 0.059, Ave_loss: -0.025, Ave_trade: 0.032, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.3, lost: -0.2, win_ratio: 71.0, total_trade: 24, Currency_BBM: 1.6, BBlength: 180, win: 17, lose: 7, max_lost: -0.05, max_win: 0.23, Ave_profit: 0.076, Ave_loss: -0.029, Ave_trade: 0.046, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.5, lost: -0.1, win_ratio: 79.0, total_trade: 19, Currency_BBM: 1.6, BBlength: 200, win: 15, lose: 4, max_lost: -0.04, max_win: 0.54, Ave_profit: 0.101, Ave_loss: -0.032, Ave_trade: 0.073, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.4, lost: -0.1, win_ratio: 81.0, total_trade: 16, Currency_BBM: 1.6, BBlength: 220, win: 13, lose: 3, max_lost: -0.04, max_win: 0.54, Ave_profit: 0.111, Ave_loss: -0.029, Ave_trade: 0.085, RSIoverSold: 50, RSIoverBought: 50, "
